,Ca,Mn,Fe,Mg
4 / 1 . ,0.072,0.132,0.443,0.027
4 / 2 . ,0.07,0.132,0.444,0.027
4 / 3 . ,0.07,0.13,0.446,0.027
4 / 4 . ,0.069,0.129,0.446,0.027
4 / 5 . ,0.069,0.125,0.444,0.027
4 / 6 . ,0.068,0.132,0.447,0.027
4 / 7 . ,0.068,0.127,0.442,0.027
4 / 8 . ,0.066,0.127,0.44,0.027
4 / 9 . ,0.066,0.126,0.441,0.027
4 / 10 . ,0.066,0.128,0.442,0.027
4 / 11 . ,0.067,0.127,0.44,0.027
4 / 12 . ,0.067,0.129,0.441,0.027
4 / 13 . ,0.069,0.123,0.441,0.027
4 / 14 . ,0.066,0.124,0.441,0.027
4 / 15 . ,0.065,0.123,0.444,0.027
4 / 16 . ,0.066,0.125,0.444,0.027
4 / 17 . ,0.065,0.121,0.445,0.028
4 / 18 . ,0.065,0.118,0.448,0.028
4 / 19 . ,0.063,0.113,0.439,0.027
4 / 20 . ,0.064,0.115,0.445,0.028
4 / 21 . ,0.065,0.107,0.444,0.028
4 / 22 . ,0.017,0.021,0.036,0.006
4 / 23 . ,0.017,0.02,0.038,0.006
4 / 24 . ,0.064,0.107,0.447,0.029
4 / 25 . ,0.068,0.106,0.444,0.028
4 / 26 . ,0.064,0.109,0.443,0.028
4 / 27 . ,0.067,0.108,0.446,0.028
4 / 28 . ,0.066,0.106,0.442,0.028
4 / 29 . ,0.063,0.104,0.448,0.029
4 / 30 . ,0.068,0.101,0.444,0.028
4 / 31 . ,0.064,0.101,0.449,0.029
4 / 32 . ,0.062,0.102,0.448,0.027
4 / 33 . ,0.063,0.103,0.447,0.029
4 / 34 . ,0.066,0.1,0.441,0.029
4 / 35 . ,0.069,0.099,0.446,0.029
4 / 36 . ,0.069,0.097,0.447,0.028
4 / 37 . ,0.016,0.02,0.038,0.006
4 / 38 . ,0.049,0.067,0.327,0.022
4 / 39 . ,0.06,0.089,0.442,0.026
4 / 40 . ,0.068,0.087,0.448,0.029
4 / 41 . ,0.071,0.086,0.448,0.029
4 / 42 . ,0.071,0.083,0.448,0.029
4 / 43 . ,0.068,0.086,0.451,0.029
4 / 44 . ,0.067,0.083,0.449,0.029
4 / 45 . ,0.069,0.084,0.448,0.029
4 / 46 . ,0.069,0.08,0.448,0.029
4 / 47 . ,0.068,0.077,0.451,0.029
4 / 48 . ,0.069,0.074,0.448,0.03
4 / 49 . ,0.07,0.075,0.448,0.029
4 / 50 . ,0.065,0.074,0.447,0.03
4 / 51 . ,0.06,0.073,0.442,0.03
4 / 52 . ,0.063,0.07,0.451,0.031
4 / 53 . ,0.067,0.067,0.447,0.03
4 / 54 . ,0.07,0.061,0.446,0.03
4 / 55 . ,0.069,0.06,0.449,0.031
4 / 56 . ,0.063,0.057,0.452,0.031
4 / 57 . ,0.062,0.054,0.453,0.032
4 / 58 . ,0.067,0.048,0.451,0.032
4 / 59 . ,0.064,0.044,0.452,0.032
4 / 60 . ,0.058,0.035,0.324,0.029
4 / 61 . ,0.06,0.042,0.453,0.033
4 / 62 . ,0.059,0.04,0.456,0.033
4 / 63 . ,0.058,0.039,0.454,0.034
4 / 64 . ,0.058,0.039,0.452,0.034
4 / 65 . ,0.059,0.036,0.454,0.034
4 / 66 . ,0.059,0.036,0.453,0.034
4 / 67 . ,0.059,0.033,0.454,0.034
4 / 68 . ,0.058,0.033,0.454,0.034
4 / 69 . ,0.057,0.031,0.453,0.034
4 / 70 . ,0.057,0.03,0.456,0.035
4 / 71 . ,0.057,0.031,0.453,0.035
4 / 72 . ,0.056,0.032,0.454,0.034
4 / 73 . ,0.056,0.033,0.455,0.034
4 / 74 . ,0.056,0.034,0.458,0.034
4 / 75 . ,0.055,0.037,0.456,0.033